codi_eoi,nom_estacio,data,magnitud,contaminant,unitats,tipus_estacio,area_urbana,codi_ine,municipi,codi_comarca,nom_comarca,h01,h02,h03,h04,altitud,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
08015021,Badalona,2021-10-12T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-10-12T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1
08019054,Barcelona (Parc Vall Hebron),2021-10-12T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-12T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,1,2,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1
08019043,Barcelona (Eixample),2021-10-12T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1
08019054,Barcelona (Parc Vall Hebron),2021-10-11T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-11T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019043,Barcelona (Eixample),2021-10-11T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
08015021,Badalona,2021-10-11T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,2,3,4,,,,,1,2,2,2,2,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-10-11T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
08015021,Badalona,2021-10-10T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-10-10T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-10T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,2,2,2,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2021-10-10T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
08019057,Barcelona (Palau Reial),2021-10-10T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-09T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
08019054,Barcelona (Parc Vall Hebron),2021-10-09T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2021-10-09T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,5,6,6,6,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-10-09T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-10-09T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1
08019043,Barcelona (Eixample),2021-10-08T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,2,1,2,2,2,3,2,2,2,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-08T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2
08019054,Barcelona (Parc Vall Hebron),2021-10-08T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1
08015021,Badalona,2021-10-08T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,2,2,2,2,2,1,1,1,1,1,1,1,3,4,5,4,4,1,4
08019057,Barcelona (Palau Reial),2021-10-08T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-10-07T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-07T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2
08019054,Barcelona (Parc Vall Hebron),2021-10-07T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,2,,,2,2,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-10-07T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
08015021,Badalona,2021-10-07T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,3,2,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2021-10-06T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2
08019054,Barcelona (Parc Vall Hebron),2021-10-06T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-06T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
08019043,Barcelona (Eixample),2021-10-06T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-10-06T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-10-05T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-05T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2021-10-05T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1
08019057,Barcelona (Palau Reial),2021-10-05T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2021-10-05T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2021-10-04T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-10-04T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,4,3,2,3,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-04T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,3,3,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,3,3,2,2,2,,2,2,2,2,3,2,3,3,2,3,3,3,3,3
08019054,Barcelona (Parc Vall Hebron),2021-10-04T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
08019057,Barcelona (Palau Reial),2021-10-04T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,2,2,,,2,1,2,1,1,1,1,2,1,2,1
08019057,Barcelona (Palau Reial),2021-10-03T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,3,2,2,2,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2021-10-03T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-03T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08019043,Barcelona (Eixample),2021-10-03T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6
08015021,Badalona,2021-10-03T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-10-02T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-02T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,1,2,2,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2
08019054,Barcelona (Parc Vall Hebron),2021-10-02T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,1,2,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2021-10-02T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-10-02T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,3,3,3,3,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,3,3,3,2,3,2,3,2,3,3,2,2,2,3,2,2,2,2,2,2
08019044,Barcelona (Gràcia - Sant Gervasi),2021-10-01T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,2,2,2,2,,,2,1,1,1,1,1,2,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2021-10-01T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-10-01T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,3,3,3,3,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
08015021,Badalona,2021-10-01T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,2,2,4,3,2,3,3,2,2,1,2,2,2,1,2,2,1,1
08019043,Barcelona (Eixample),2021-10-01T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
08015021,Badalona,2021-09-30T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-09-30T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2
08019044,Barcelona (Gràcia - Sant Gervasi),2021-09-30T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,2,2,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,2,2,2,2,2,2,2,2,3,2,2,1,1,1,2,2,2,2,2,2
08019054,Barcelona (Parc Vall Hebron),2021-09-30T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-09-30T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,,,,,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3
08019057,Barcelona (Palau Reial),2021-09-29T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
08019054,Barcelona (Parc Vall Hebron),2021-09-29T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08015021,Badalona,2021-09-29T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-09-29T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,1,1,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,1,1,1,2,3,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2
08019044,Barcelona (Gràcia - Sant Gervasi),2021-09-29T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1
08015021,Badalona,2021-09-28T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-09-28T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,3,3,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,3,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2
08019057,Barcelona (Palau Reial),2021-09-28T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
08019054,Barcelona (Parc Vall Hebron),2021-09-28T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-09-28T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-09-27T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1
08019043,Barcelona (Eixample),2021-09-27T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,3,3,3,2,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,3,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,2
08015021,Badalona,2021-09-27T00:00:00.000,1,SO2,µg/m3,background,urban,08015,Badalona,13,Barcelonès,1,1,1,1,7,41.443985,2.2378986,"{'type': 'Point', 'coordinates': [2.2378986, 41.443985]}",531,29,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1
08019057,Barcelona (Palau Reial),2021-09-27T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
08019054,Barcelona (Parc Vall Hebron),2021-09-27T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1
08019044,Barcelona (Gràcia - Sant Gervasi),2021-09-26T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,2,2,1,1,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
08019043,Barcelona (Eixample),2021-09-26T00:00:00.000,1,SO2,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,3,3,3,3,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,2,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3
08019054,Barcelona (Parc Vall Hebron),2021-09-26T00:00:00.000,1,SO2,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,1,1,1,1,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
